Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Desert Hot Springs,Riverside,"25,793",54.10%,33.30%,1.60%,8.20%,2.80%,51.40%
San Lorenzo,Alameda,"24,096",54.10%,17.20%,20.80%,6.50%,1.40%,35.90%
Crescent Mills,Plumas,188,54.30%,45.70%,0.00%,0.00%,0.00%,45.70%
East Palo Alto,San Mateo,"28,077",54.30%,15.50%,3.00%,17.50%,9.80%,62.10%
Pomona,Los Angeles,"148,946",54.30%,28.20%,8.10%,8.70%,0.80%,70.10%
Madison,Yolo,287,54.40%,45.60%,0.00%,0.00%,0.00%,76.00%
Sunnyside,Fresno,"4,586",54.50%,20.60%,17.10%,6.00%,1.80%,37.30%
Fulton,Sonoma,691,54.60%,36.00%,9.40%,0.00%,0.00%,36.00%
Honcut,Butte,745,54.60%,43.90%,0.00%,1.50%,0.00%,52.50%
La Habra,Orange,"60,117",54.80%,35.40%,7.20%,2.00%,0.60%,58.00%
La Mirada,Los Angeles,"48,363",54.80%,23.90%,18.40%,2.10%,0.80%,40.10%
Marina,Monterey,"19,636",54.80%,17.90%,15.50%,8.60%,3.20%,29.50%
Mather,Sacramento,"4,650",54.80%,12.50%,16.90%,10.20%,5.50%,14.30%
Arbuckle,Colusa,"3,236",55.30%,43.90%,0.50%,0.00%,0.30%,66.00%
Mecca,Riverside,"8,233",55.30%,43.20%,0.40%,0.00%,1.10%,96.20%
Belden,Plumas,56,55.40%,0.00%,44.60%,0.00%,0.00%,0.00%
Monrovia,Los Angeles,"36,622",55.40%,25.10%,12.50%,6.70%,0.20%,37.40%
Adelanto,San Bernardino,"30,670",55.50%,19.40%,2.40%,21.10%,1.50%,51.80%
Bayview (Contra Costa County),Contra Costa,"2,168",55.50%,9.70%,18.20%,15.30%,1.30%,29.60%
Whitewater,Riverside,533,55.50%,34.00%,10.50%,0.00%,0.00%,31.70%
Chino Hills,San Bernardino,"74,765",55.60%,11.80%,28.30%,3.80%,0.50%,30.20%
Downey,Los Angeles,"111,329",55.60%,33.50%,6.90%,3.70%,0.30%,70.90%
Whittier,Los Angeles,"85,161",55.70%,38.60%,3.50%,1.10%,1.00%,66.20%
Warm Springs,Riverside,"2,196",55.80%,35.50%,7.30%,1.00%,0.30%,40.10%
Fountain Valley,Orange,"55,209",55.90%,7.10%,35.10%,1.40%,0.50%,12.60%
Merced,Merced,"78,111",56.10%,24.10%,11.40%,6.80%,1.70%,49.60%
Parkway,Sacramento,"14,149",56.10%,14.20%,12.30%,16.60%,0.90%,44.70%
