Place,County/ies[3][note 3],Population[1],White[1],Other[1][note 1],Asian[1],Black or AfricanAmerican[1],Native American[1][note 2],Hispanic or Latino(of any race)[2]
Buck Meadows,Mariposa,31,74.2%,9.7%,0.0%,16.1%,0.0%,0.0%
Bucks Lake,Plumas,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Buellton,Santa Barbara,"4,712",69.9%,23.0%,4.2%,0.4%,2.5%,38.9%
Buena Park,Orange,"80,214",53.4%,14.9%,26.1%,4.5%,1.1%,37.7%
Buena Vista,Amador,435,68.5%,25.1%,0.0%,0.0%,6.4%,0.0%
Burbank,Los Angeles,"103,037",74.2%,12.0%,11.5%,2.0%,0.3%,25.5%
Burbank,Santa Clara,"5,827",67.3%,19.2%,11.6%,1.5%,0.3%,48.5%
Burlingame,San Mateo,"28,514",70.9%,6.8%,20.2%,1.4%,0.7%,11.9%
Burney,Shasta,"2,824",91.5%,3.0%,0.2%,0.0%,5.2%,3.5%
Burnt Ranch,Trinity,293,92.8%,6.1%,0.0%,0.0%,1.0%,2.0%
Butte Creek Canyon,Butte,924,96.6%,2.4%,0.6%,0.0%,0.3%,3.6%
Butte Meadows,Butte,21,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Butte Valley,Butte,954,100.0%,0.0%,0.0%,0.0%,0.0%,10.5%
Buttonwillow,Kern,"1,449",76.3%,20.9%,0.1%,2.6%,0.0%,76.6%
Byron,Contra Costa,"1,287",84.8%,10.4%,0.4%,4.4%,0.0%,13.8%
Bystrom,Stanislaus,"3,858",73.8%,20.1%,5.8%,0.3%,0.0%,79.7%
Cabazon,Riverside,"1,729",87.9%,7.6%,0.0%,3.5%,0.9%,40.8%
Calabasas,Los Angeles,"22,839",81.6%,5.1%,10.1%,3.1%,0.2%,6.6%
Calexico,Imperial,"37,378",64.4%,34.1%,1.0%,0.2%,0.3%,96.4%
California City,Kern,"13,684",64.8%,15.9%,2.7%,16.4%,0.2%,24.4%
California Hot Springs,Tulare,67,98.5%,1.5%,0.0%,0.0%,0.0%,0.0%
California Pines,Modoc,105,81.0%,19.0%,0.0%,0.0%,0.0%,3.8%
Calimesa,Riverside,"7,923",91.0%,7.6%,1.0%,0.5%,0.0%,19.5%
Calipatria,Imperial,"7,292",66.8%,21.1%,1.5%,9.0%,1.7%,75.5%
Calistoga,Napa,"5,159",93.3%,4.7%,0.9%,1.0%,0.0%,38.2%
Callender,San Luis Obispo,"1,531",96.3%,2.2%,1.6%,0.0%,0.0%,42.5%
Calpella,Mendocino,890,79.8%,9.3%,2.7%,5.1%,3.1%,6.7%
Calpine,Sierra,194,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Calwa,Fresno,"1,467",49.5%,44.4%,6.1%,0.0%,0.0%,83.0%
Camanche North Shore,Amador,791,96.7%,3.3%,0.0%,0.0%,0.0%,16.9%
Camanche Village,Amador,704,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Camarillo,Ventura,"64,340",73.0%,13.8%,10.7%,1.4%,1.0%,24.5%
Cambria,San Luis Obispo,"6,229",91.7%,4.3%,2.7%,0.0%,1.3%,17.1%
Cambrian Park,Santa Clara,"3,581",78.6%,9.0%,3.9%,0.3%,8.2%,16.8%
Cameron Park,El Dorado,"16,697",90.8%,6.1%,2.2%,0.6%,0.4%,15.4%
Camino,El Dorado,"1,933",98.7%,0.7%,0.3%,0.4%,0.0%,3.5%
Camino Tassajara,Contra Costa,"1,813",51.9%,2.5%,45.6%,0.0%,0.0%,8.3%
Campbell,Santa Clara,"39,108",68.7%,12.0%,16.9%,1.4%,0.9%,16.8%
Camp Nelson,Tulare,119,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Campo,San Diego,"2,482",80.3%,4.4%,2.6%,9.5%,3.2%,33.0%
Camp Pendleton North,San Diego,"6,948",65.7%,14.8%,4.3%,11.1%,4.1%,24.3%
Camp Pendleton South,San Diego,"11,193",61.0%,23.4%,3.5%,11.8%,0.3%,25.4%
Camptonville,Yuba,139,97.1%,2.9%,0.0%,0.0%,0.0%,9.4%
Canby,Modoc,480,62.3%,19.4%,0.0%,10.4%,7.9%,20.8%
Cantua Creek,Fresno,289,89.6%,10.4%,0.0%,0.0%,0.0%,100.0%
Canyondam,Plumas,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Canyon Lake,Riverside,"10,663",92.9%,4.8%,1.1%,0.9%,0.3%,9.7%
Capitola,Santa Cruz,"9,864",85.9%,9.6%,2.3%,1.1%,1.1%,22.3%
Caribou,Plumas,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Carlsbad,San Diego,"102,342",86.0%,5.7%,7.4%,0.6%,0.3%,13.4%
Carmel-by-the-Sea,Monterey,"3,728",90.0%,3.6%,6.4%,0.0%,0.0%,8.1%
Carmel Valley Village,Monterey,"4,676",88.6%,9.2%,2.2%,0.0%,0.0%,6.8%
Carmet,Sonoma,22,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Carmichael,Sacramento,"61,710",82.0%,7.2%,5.1%,4.4%,1.3%,10.6%
Carnelian Bay,Placer,289,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Carpinteria,Santa Barbara,"13,106",73.0%,21.9%,3.4%,0.4%,1.4%,42.6%
Carrick,Siskiyou,123,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Carson,Los Angeles,"91,508",31.6%,16.7%,26.0%,22.3%,3.4%,37.8%
Cartago,Inyo,84,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Caruthers,Fresno,"2,914",53.4%,39.5%,1.6%,3.2%,2.3%,78.3%
Casa Conejo,Ventura,"3,424",89.0%,4.6%,2.1%,4.3%,0.0%,32.6%
Casa de Oro-Mount Helix,San Diego,"18,498",84.2%,4.4%,3.0%,7.8%,0.7%,17.1%
Casmalia,Santa Barbara,224,100.0%,0.0%,0.0%,0.0%,0.0%,95.1%
Caspar,Mendocino,637,97.2%,2.8%,0.0%,0.0%,0.0%,0.2%
Cassel,Shasta,473,100.0%,0.0%,0.0%,0.0%,0.0%,4.7%
Castaic,Los Angeles,"18,170",72.6%,15.4%,6.5%,5.2%,0.3%,24.3%
Castle Hill,Contra Costa,"1,369",89.5%,6.6%,3.9%,0.0%,0.0%,8.2%
Castro Valley,Alameda,"60,882",62.9%,7.9%,21.7%,6.8%,0.8%,17.4%
Castroville,Monterey,"5,809",61.9%,31.0%,2.5%,0.0%,4.6%,94.5%
Cathedral City,Riverside,"51,130",80.7%,13.0%,3.8%,1.8%,0.8%,59.8%
Catheys Valley,Mariposa,811,83.5%,16.5%,0.0%,0.0%,0.0%,11.6%
Cayucos,San Luis Obispo,"2,822",97.5%,1.8%,0.5%,0.0%,0.2%,6.0%
Cazadero,Sonoma,305,92.8%,7.2%,0.0%,0.0%,0.0%,8.9%
Cedar Ridge,Tuolumne,"1,071",89.8%,6.9%,0.7%,0.3%,2.3%,3.5%
Cedar Slope,Tulare,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cedarville,Modoc,545,85.3%,12.8%,0.4%,0.0%,1.5%,20.2%
Centerville,Fresno,231,93.9%,0.0%,0.0%,6.1%,0.0%,0.0%
Ceres,Stanislaus,"44,731",70.9%,18.2%,7.1%,2.0%,1.7%,54.8%
Cerritos,Los Angeles,"49,281",21.3%,9.0%,62.2%,6.8%,0.8%,11.4%
Chalfant,Mono,749,100.0%,0.0%,0.0%,0.0%,0.0%,1.3%
Challenge-Brownsville,Yuba,"1,479",81.9%,10.0%,0.0%,3.4%,4.7%,8.2%
Channel Islands Beach,Ventura,"3,299",94.0%,4.8%,1.2%,0.0%,0.0%,19.2%
Charter Oak,Los Angeles,"9,747",62.9%,28.8%,5.5%,2.2%,0.5%,46.6%
Cherokee,Butte,105,86.7%,0.0%,13.3%,0.0%,0.0%,0.0%
Cherokee Strip,Kern,316,86.4%,13.6%,0.0%,0.0%,0.0%,78.5%
Cherryland,Alameda,"14,394",46.8%,31.1%,9.0%,8.6%,4.5%,55.9%
Cherry Valley,Riverside,"5,477",91.4%,4.7%,3.0%,0.7%,0.3%,15.2%
Chester,Plumas,"1,674",97.6%,2.2%,0.0%,0.2%,0.0%,2.9%
Chico,Butte,"85,605",82.0%,10.2%,4.6%,1.9%,1.2%,14.8%
Chilcoot-Vinton,Plumas,534,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
China Lake Acres,Kern,"1,423",82.4%,13.3%,0.0%,0.0%,4.4%,10.3%
Chinese Camp,Tuolumne,154,90.9%,9.1%,0.0%,0.0%,0.0%,8.4%
